timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/05/04 18:16:59.935, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:16:59.942, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:16:59.945, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:16:59.947, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:16:59.948, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:00.950, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:00.953, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:00.956, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:00.958, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:00.960, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:01.963, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:01.965, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:01.966, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:01.967, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:01.968, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:02.970, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:02.973, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:02.975, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:02.976, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:02.978, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:03.981, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:03.983, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:03.984, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:03.985, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:03.986, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:04.988, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:04.991, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:04.992, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:04.995, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:04.997, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:05.999, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:06.001, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:06.002, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:06.003, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:06.004, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:07.006, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:07.007, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:07.010, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:07.013, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:07.014, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:08.017, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:08.018, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:08.020, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:08.021, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:08.022, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:09.023, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:09.026, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:09.027, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:09.028, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:09.030, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:10.033, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:10.035, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:10.036, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:10.037, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:10.038, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:11.040, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:11.041, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:11.043, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:11.044, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:11.045, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:12.046, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:12.047, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:12.049, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:12.050, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:12.051, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:13.052, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:13.054, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:13.055, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:13.057, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:13.057, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:14.059, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:14.060, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:14.062, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:14.063, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:14.064, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:15.066, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:15.067, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:15.069, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:15.070, 0 %, 0 %, 6 MiB, 4096 MiB
